Year,Month,Fine,Unpaid,Count
2020,7,75.0,0.0,4
2017,3,75.0,1.0,1
2020,6,64.11764705882354,0.29411764705882354,17
2020,12,64.05555555555556,0.2222222222222222,36
2022,12,60.121247113163975,0.2228637413394919,866
2018,4,60.0,0.0,1
2018,1,60.0,0.0,2
2021,12,59.2864,0.2224,625
2022,11,58.36118090452261,0.21231155778894473,1592
2023,3,57.90801790801791,0.21164021164021163,2457
2023,9,57.828596802841915,0.34369449378330375,1126
2022,3,57.8150113722517,0.21607278241091737,1319
2023,4,57.757495003331115,0.23117921385742837,1501
2022,8,57.7051724137931,0.2120689655172414,580
2022,9,56.93386773547094,0.19438877755511022,1497
2021,8,56.79734219269103,0.2857142857142857,301
2021,11,56.71563088512241,0.23069679849340866,1062
2022,5,56.43583535108959,0.2542372881355932,413
2023,8,56.35732323232323,0.375,792
2023,2,56.187337830825115,0.21639854696419306,1927
2021,10,55.97551420176298,0.15866797257590598,1021
2023,1,55.888556469708305,0.18324607329842932,1337
2022,10,55.783149171270715,0.19406077348066297,1448
2021,9,55.775656324582336,0.17501988862370724,1257
2022,4,55.72142064372919,0.20643729189789123,901
2019,4,55.36666666666667,0.03333333333333333,30
2023,6,55.064473684210526,0.2565789473684211,760
2022,2,54.586503067484664,0.19386503067484662,1630
2019,12,54.34937238493724,0.03556485355648536,478
2022,1,53.996469549867605,0.16857899382171226,1133
2021,3,53.410980392156866,0.17647058823529413,1275
2022,6,53.246153846153845,0.26346153846153847,520
2021,2,53.14093959731544,0.14429530201342283,894
2021,4,52.93366708385482,0.22778473091364204,799
2022,7,52.120370370370374,0.2623456790123457,648
2023,7,51.91009681881051,0.2517289073305671,723
2023,5,51.87632135306554,0.23255813953488372,946
2021,7,51.33177570093458,0.308411214953271,214
2021,5,51.24294478527607,0.2650306748466258,815
2021,6,51.21180555555556,0.2899305555555556,576
2018,5,51.09090909090909,0.011363636363636364,88
2020,5,51.0,0.4,5
2020,9,50.83895705521472,0.1656441717791411,652
2021,1,49.975,0.1409090909090909,440
2020,2,49.95936794582393,0.13036117381489842,1772
2019,9,49.63739669421488,0.03512396694214876,968
2019,8,49.32981530343008,0.06860158311345646,379
2019,11,49.163653663177925,0.03425309229305423,1051
2020,1,49.05284974093264,0.06217616580310881,965
2020,10,48.893457943925235,0.20747663551401868,1070
2020,3,48.31074977416441,0.15627822944896116,1107
2019,5,48.221875,0.03125,640
2020,11,48.15856481481482,0.19444444444444445,864
2019,6,47.94059405940594,0.0429042904290429,606
2019,10,47.83197674418604,0.038953488372093024,1720
2020,8,47.142857142857146,0.0,7
2017,2,46.960558751027115,0.03286770747740345,1217
2019,7,46.7518115942029,0.05615942028985507,552
2023,10,46.44144144144144,0.8378378378378378,111
2017,1,45.567136150234745,0.051643192488262914,1065
2018,6,44.15873015873016,0.06349206349206349,63
2020,4,40.63157894736842,0.18421052631578946,38
2016,12,37.3757225433526,0.028901734104046242,346
2016,11,36.62562065541211,0.024826216484607744,1007
2016,3,35.50441501103753,0.02869757174392936,906
2015,12,34.07297297297297,0.04234234234234234,1110
2016,4,33.71490750816105,0.036996735582154515,919
2016,9,33.6973293768546,0.03412462908011869,674
2015,11,33.224584717607975,0.023255813953488372,1505
2015,3,33.002587322121606,0.03816300129366106,1546
2016,2,32.6042654028436,0.026856240126382307,1266
2015,2,32.244780417566595,0.040316774658027354,1389
2016,7,31.76954732510288,0.04938271604938271,243
2016,8,31.31304347826087,0.008695652173913044,230
2016,1,31.16832440703902,0.04055087987758225,1307
2015,4,30.090434782608696,0.057391304347826085,1150
2015,10,29.775214238628873,0.02702702702702703,1517
2015,1,29.52542372881356,0.05972558514931396,1239
2016,10,29.45514403292181,0.03374485596707819,1215
2011,10,28.634974533106963,0.0730050933786078,589
2016,6,28.515513126491648,0.021479713603818614,419
2016,5,28.5,0.0412621359223301,412
2011,12,28.038387715930902,0.05758157389635317,521
2014,3,27.70175438596491,0.1023391812865497,684
2010,8,27.641873278236915,0.0881542699724518,363
2014,8,27.269444444444446,0.10555555555555556,360
2011,9,27.191374663072775,0.05929919137466307,742
2015,9,26.845309381237524,0.033932135728542916,1002
2014,11,26.784334763948497,0.06974248927038626,932
2012,8,26.743169398907103,0.07650273224043716,183
2015,6,26.724852071005916,0.04142011834319527,338
2015,5,26.6984126984127,0.0873015873015873,252
2011,5,26.504798464491362,0.04798464491362764,521
2014,2,26.115436241610738,0.05100671140939597,745
2014,4,26.09933774834437,0.08388520971302428,453
2014,7,26.06006006006006,0.1891891891891892,333
2010,11,25.918743228602384,0.04983748645720477,923
2010,7,25.901587301587302,0.10793650793650794,315
2012,3,25.864285714285714,0.05,840
2011,7,25.808580858085808,0.08250825082508251,303
2015,7,25.59760956175299,0.04780876494023904,251
2012,2,25.57426679280984,0.048249763481551564,1057
2013,7,25.57391304347826,0.034782608695652174,230
2014,10,25.384933774834437,0.076158940397351,1208
2013,3,25.34130982367758,0.05415617128463476,794
2011,8,25.21025641025641,0.08717948717948718,195
2012,1,25.18243243243243,0.04814189189189189,1184
2014,1,25.170212765957448,0.04964539007092199,846
2014,12,25.10810810810811,0.07985257985257985,814
2011,2,25.106227106227106,0.03956043956043956,1365
2014,9,25.099744245524295,0.07800511508951406,782
2013,2,25.098728043609935,0.0514839491217444,1651
2010,12,25.035160289555325,0.02998965873836608,967
2013,1,24.92851531814611,0.08012568735271014,1273
2013,11,24.916666666666668,0.07309941520467836,684
2014,6,24.866013071895424,0.14705882352941177,306
2012,10,24.761061946902654,0.05436156763590392,1582
2011,11,24.64,0.047058823529411764,425
2012,7,24.631818181818183,0.07272727272727272,220
2012,12,24.63071512309496,0.035169988276670575,853
2011,4,24.575414781297134,0.04675716440422323,1326
2012,5,24.52389705882353,0.058823529411764705,544
2012,4,24.43639053254438,0.0695266272189349,676
2010,9,24.329557157569514,0.04016477857878476,1942
2013,9,24.29488859764089,0.10091743119266056,763
2014,5,24.283809523809524,0.1619047619047619,525
2015,8,24.26829268292683,0.050997782705099776,451
2011,6,23.89887640449438,0.09662921348314607,445
2011,3,23.859146341463415,0.04390243902439024,1640
2013,8,23.823529411764707,0.1092436974789916,119
2012,9,23.66794380587484,0.04597701149425287,783
2013,10,23.605359317904995,0.08526187576126674,821
2010,6,23.44083969465649,0.08015267175572519,524
2011,1,23.421089879688605,0.03255484784147204,1413
2013,4,23.37721021611002,0.021611001964636542,509
2010,10,23.369426751592357,0.04076433121019108,1570
2013,5,22.917171717171716,0.046464646464646465,495
2013,12,22.787012987012986,0.08571428571428572,385
2012,6,22.742705570291776,0.07161803713527852,377
2013,6,22.43877551020408,0.030612244897959183,294
2012,11,22.044751830756713,0.07648494711147275,1229
